,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
8,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_11.txt,896,19,3078627,323475,299134,2000,3377761,325475,1,71235,7717,1374094,9113,1445329,16830,47,5,15
9,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_2.txt,960,20,3225620,384020,298128,2000,3523748,386020,1,34041,3741,1369703,9110,1403744,12851,48,6,15
10,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_9.txt,1152,22,23786170,784816,302523,2005,24088693,786821,3,6413568,77486,1522392,10136,7935960,87622,61,6,17
11,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_16.txt,1192,17,13507345,487618,304073,2017,13811418,489635,3,9519469,125749,1297589,8615,10817058,134364,51,4,14
12,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_7.txt,1344,23,5958679,710999,298357,2000,6257036,712999,1,34672,2399,1525038,10145,1559710,12544,55,7,17
13,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_11.txt,2016,25,10770025,1260025,301498,2000,11071523,1262025,1,48368,1747,1601778,10665,1650146,12412,59,8,18
14,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_16.txt,2496,25,35791608,1894522,301930,2003,36093538,1896525,3,5994435,82431,1676927,11166,7671362,93597,67,7,19
15,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_5.txt,3328,26,45296678,2656462,301149,2011,45597827,2658473,3,10716517,130571,1681040,11165,12397557,141736,70,8,19
16,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_9.txt,3456,24,14929944,1990680,301068,2000,15231012,1992680,1,2209,512,1448267,9634,1450476,10146,54,9,16
17,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_19.txt,3840,26,24400922,2595866,298758,2000,24699680,2597866,1,32425,2422,1748470,11653,1780895,14075,64,7,20
