,STATES,inputs,LSTAR_total_sym_median,LSTAR_total_sym_mean,LSTAR_total_sym_std,LSTAR_total_reset_median,LSTAR_total_reset_mean,LSTAR_total_reset_std,LSTAR_mq_sym_mean,LSTAR_mq_sym_std,LSTAR_mq_reset_mean,LSTAR_mq_reset_std,LSTAR_eq_sym_mean,LSTAR_eq_sym_std,LSTAR_eq_reset_mean,LSTAR_eq_reset_std,LSTAR_eqs,SCLSTAR_total_sym_median,SCLSTAR_total_sym_mean,SCLSTAR_total_sym_std,SCLSTAR_total_reset_median,SCLSTAR_total_reset_mean,SCLSTAR_total_reset_std,SCLSTAR_mq_sym_mean,SCLSTAR_mq_sym_std,SCLSTAR_mq_reset_mean,SCLSTAR_mq_reset_std,SCLSTAR_eq_sym_mean,SCLSTAR_eq_sym_std,SCLSTAR_eq_reset_mean,SCLSTAR_eq_reset_std,SCLSTAR_eqs,SCLSTAR_components,SCLSTAR_rounds,SCLSTAR_TOTAL_SYM_progress,SCLSTAR_TOTAL_RST_progress,SCLSTAR_MQ_SYM_progress,SCLSTAR_MQ_RST_progress,SCLSTAR_EQ_SYM_progress,SCLSTAR_EQ_RST_progress,SCLSTAR_TOTAL_SYM_pvalue,SCLSTAR_TOTAL_RST_pvalue
0,"(100, 1090]",17.0,3178363.0,4425699.615384615,4145198.1071986156,140008.5,155730.6923076923,130204.3362716568,3103480.5,4144626.1213905583,139503.5,130204.19560581552,75261.0,1022.610186859331,501.0,6.536358458687256,2.0,8345455.846153846,6420604.0,5271393.123063565,56706.5,84556.30769230769,66006.24803507751,2933144.5,5387271.209299657,36658.0,67419.22404578047,3398699.0,1346428.7202096598,22625.5,8968.529558261249,159.0,4.0,13.0,-45.07545829998718,45.70350491652503,5.488547455026705,73.7225230908185,-4415.8833924609025,-4416.067864271457,0.9999999987372534,0.00038701823759491904
1,"(1090, 2080]",18.0,13803799.0,14909069.538461538,6388108.4298271425,603908.0,597742.0,215051.3805605535,13726568.0,6387630.70066795,603396.0,215057.52284956764,76949.0,1851.4213077995953,511.0,9.257013972783414,3.0,14669739.307692308,12818600.0,3821125.3392155385,171820.0,161989.84615384616,54310.38453930973,10143152.0,5719323.377647382,148552.0,69675.3924792751,3328475.0,2671766.7727563605,22140.0,17800.082337752523,190.0,4.0,15.0,14.021462124572349,72.89970486366255,26.105695174496645,75.38067869193696,-4225.559786352,-4232.681017612525,0.4428256280592048,2.5846368134464793e-05
2,"(2080, 3070]",23.0,18570974.0,20138514.225806452,9138294.719147226,697874.0,767851.9677419355,353793.25607850734,18443450.0,9119721.094087088,697366.0,353872.345838099,77378.0,39633.89956419272,511.0,263.4412260256403,3.0,41145957.93548387,22774852.0,33548668.240411885,251533.0,538063.1612903225,482105.16664327483,15383138.0,36098252.34702271,202365.0,499728.6531291122,7301344.0,2973114.174372717,48658.0,19813.056309533145,306.0,6.0,18.0,-13.091024216747925,29.92618578908712,16.592947631815093,70.98152189811375,-9335.94303290341,-9422.113502935421,0.9998416921062836,0.04287759099947844
3,"(3070, 4060]",22.0,26107118.0,29338712.85714286,16396344.554431988,1535277.0,1369933.0,433012.42875580373,26030364.0,16394963.608106373,1534774.0,433005.0076363354,76754.0,2000.6351848493368,507.0,10.526610271570044,2.0,14733498.857142856,15357154.0,2555657.0011365917,161708.0,156166.14285714287,27345.25171718466,9638430.0,1790305.9977261536,122459.0,21791.335623088715,5717528.0,944557.3215954758,38146.0,6294.984269430779,285.0,6.0,19.0,47.65566548615264,88.60045397423502,62.97235797394152,92.02104023133047,-7349.159652917112,-7423.865877712032,0.021712844170843577,0.00013266857675156088
4,"(4060, 5050]",22.0,30311261.0,35614992.46666667,20422520.252049327,1275892.0,1255687.4,280511.3317723291,30226355.0,20401756.71521119,1274970.0,280444.7282434676,77754.0,33681.68334541717,514.0,222.60049629859535,4.0,52732899.666666664,18683587.0,51280027.08692593,204694.0,735090.7333333333,781885.784653037,11308513.0,53246446.18747753,155493.0,795223.4304842346,5136718.0,2465503.959594279,34168.0,16441.486375571254,280.0,5.0,18.0,47.540106831451304,41.459097755274655,62.587242160028886,87.80418362785007,-6506.371376392211,-6547.470817120623,0.9151488652225043,0.0151159246317903
5,"(5050, 6040]",28.0,56653090.0,49110845.28571428,23561569.12292825,2681181.0,2398980.714285714,497887.902968367,56538419.0,23558153.62279851,2680666.0,497890.0237611765,77784.0,14241.324018837708,515.0,96.64515359957639,3.0,21983408.85714286,18466570.0,18255639.30863026,178132.0,258728.85714285713,290022.68030473555,10106599.0,19584731.436836656,122465.0,299622.3965821298,8359971.0,2071018.653748957,55667.0,13822.093604770864,401.0,7.0,21.0,62.39818334918441,89.21505055867478,82.12436927180437,95.43154574273707,-10647.67432891083,-10709.126213592233,0.011081876901621969,2.9388356465650424e-05
6,"(6040, 7030]",22.0,33914388.0,33914388.0,,1546352.0,1546352.0,,33837437.0,,1545847.0,,76951.0,,505.0,,3.0,31035173.0,31035173.0,,351541.0,351541.0,,25090388.0,,311878.0,,5944785.0,,39663.0,,296.0,4.0,20.0,8.489656366495545,77.26643092905108,25.8502114093334,79.8247821420878,-7625.416173928863,-7754.059405940595,,
7,"(7030, 8020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(8020, 9010]",16.5,67075404.0,65490848.25,23292107.556193173,2438022.0,2447879.5,430292.8730450149,66979240.5,23266331.3122603,2437175.5,430144.0879356397,87457.0,35875.65131063825,577.0,241.3704966781704,6.0,65428197.6875,66267241.5,40027972.615837865,935304.5,895229.875,550936.2392439346,63045379.0,40877654.84089846,913858.0,557022.5532787549,4144600.0,1456466.1116589417,27612.0,9710.726392328572,227.0,4.0,16.5,-1.1854988456345028,63.428351967488595,5.873254863198996,62.5033978882522,-4639.014601461289,-4685.441941074524,0.4973949805727895,1.6635787917484273e-08
9,"(9010, 10000]",27.0,57901413.0,57901413.0,,4922392.0,4922392.0,,57826625.0,,4921891.0,,74788.0,,501.0,,2.0,19909705.0,19909705.0,,192569.0,192569.0,,8877624.0,,118884.0,,11032081.0,,73685.0,,442.0,6.0,24.0,65.61447472793107,96.0878979162976,84.64786073888975,97.58458689962862,-14651.137883082847,-14607.58483033932,,
